content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion,id
Its good but i cant see my steps if i walk my steps still says 0 steps how do i fix that,3,0,3.6.9,2025-03-08 21:47:29,3.6.9,108
"It does what it advertised. However, I would have liked for the app to have a better sleep monitor. It doesn't record naps like it records the heart and oxygen. But so far so good.",4,0,3.6.9,2025-03-08 21:40:15,3.6.9,109
"This is the only app that works with my watch. It's very simple. My main complaint is the sleep tracking. It's wrong almost every time. I feel like if we could edit the times in the app for when we go to sleep and wake up, that might help it be more accurate.",3,0,3.6.9,2025-03-08 18:58:52,3.6.9,110
"Eh, not great. Can't connect to texting",2,0,3.6.9,2025-03-08 18:21:29,3.6.9,111
Very disappointed that GloryFit refused to pair with my OnePlus 7 Pro. This makes my smart watch unusable.,1,0,3.6.9,2025-03-08 17:06:22,3.6.9,112
love its,5,0,3.6.9,2025-03-08 13:14:18,3.6.9,113
it helps you see how much steps that you have,5,0,3.6.9,2025-03-08 13:08:56,3.6.9,114
"Terrible. Wont update watch, or receive messages.",1,0,3.6.9,2025-03-08 12:39:04,3.6.9,115
Would be better if there was a way to have a locator in the app for the watch like there is one in the watch that makes your phone go off,4,0,3.6.9,2025-03-08 12:28:28,3.6.9,116
Great,5,0,3.6.9,2025-03-08 08:13:24,3.6.9,117
Love it!!!!,5,0,3.6.9,2025-03-08 02:17:56,3.6.9,118
"if we can have control when to stop the sleep monitoring, it would be amazing. most people have schedules when they should wake up. the 18:00 start of sleep monitoring is fine, but when to set it to stop is an option we need.",4,0,3.6.9,2025-03-08 01:56:48,3.6.9,119
App is a absolute joke. Will not update. Weather never updates . When you try to update data from your phone it could take five to ten tries before they sync. Trash app for a trash watch.,1,0,3.6.9,2025-03-07 22:34:17,3.6.9,120
So far so good,5,0,3.6.9,2025-03-07 22:24:49,3.6.9,121
Do not buy absolutely useless and I'm it savvy!,1,0,3.6.9,2025-03-07 22:01:16,3.6.9,122
the best,5,0,,2025-03-07 18:50:23,,123
"Got everything on this watch last one I had was a fidit but didn't last long as the face kept falling off in the end the face got disconnected in all ways dead this is great has lasted a lot longer than the FIBIT, so loving this GLORY FIT",5,0,3.6.3,2025-03-07 18:40:58,3.6.3,124
It is difficult to work with and doesn't record activity like elliptical.,2,0,3.6.9,2025-03-07 17:42:04,3.6.9,125
"Seen lots of bad reviews.. but all is working for me, sleep, heart, oxygen, calls, music & steps.. so all in all pretty good, would give 5 stars if there were more functions/watch faces etc, limited compared to some other smart watch apps.. please add more faces, apps etc",4,0,3.6.9,2025-03-07 10:38:16,3.6.9,126
Very good app but there is no settings to change date and time or install app,4,0,,2025-03-07 10:22:11,,127
Forgot my password and can't get into it!,1,0,3.6.9,2025-03-07 09:38:27,3.6.9,128
Nice App,5,0,3.6.9,2025-03-07 06:03:09,3.6.9,129
Horrible,1,0,3.6.9,2025-03-07 04:26:30,3.6.9,130
"ALL MY WEATHER INFO IS IN RUSSIAN, everything else is in english",1,0,3.6.9,2025-03-07 04:07:09,3.6.9,131
It won't pair,1,0,,2025-03-06 23:03:07,,132
The watch will not display or allow me to receive or send messages. And when I start an exercise thru the watch it does not track in the app. Or is very delayed because I've been finished for 10 minutes and it doesn't show in the app.,3,0,3.6.9,2025-03-06 22:23:24,3.6.9,133
"Watch and app are quite good, not had any major issues really, however, weather on both will not update, and hasn't since the 23rd August 2024, definitely needs looking at.",2,0,3.6.9,2025-03-06 18:56:59,3.6.9,134
I LOVE IT SOOOOOOOOO MUCH,5,0,3.6.9,2025-03-06 16:37:26,3.6.9,135
"In order to use all the features of this app I have to give up a lot of personal info to third parties, supposedly, and I refuse to do it. The sport feature doesn't log the steps for overall access and requires precise location to work.",2,0,3.6.9,2025-03-06 16:22:17,3.6.9,136
Just great,5,0,3.6.9,2025-03-06 10:51:28,3.6.9,137
This is great and surprised how nice it is for the money!!!!,5,0,3.6.9,2025-03-06 09:49:01,3.6.9,138
Brilliant,5,0,3.6.9,2025-03-06 05:22:29,3.6.9,139
Keeps crashing when opening,1,0,,2025-03-06 01:27:24,,140
Can not get it to connect to Bluetooth.,1,0,3.6.9,2025-03-05 19:16:55,3.6.9,141
Great,5,0,3.6.9,2025-03-05 18:27:25,3.6.9,142
"My watch won't display correct date and time. Was we working fine, then stopped Can't update.",2,0,3.6.9,2025-03-05 18:00:46,3.6.9,143
"For an android type of watch the fact it cannot connect to health connect, or Samsung health or even pokemon sleep. Multiple services yall have failed at. I wish I could return this horrible watch.",1,0,3.6.9,2025-03-05 15:25:56,3.6.9,144
Unable to change watch face. No options are shown in that part of the app. I really don't like the current watchface. It's too busy.😔,1,0,3.6.9,2025-03-05 14:57:18,3.6.9,145
Nice 👍,5,0,,2025-03-05 14:56:20,,146
great,5,0,,2025-03-05 14:26:01,,147
Good,5,0,,2025-03-05 10:54:10,,148
"not easy to connect to watch battery doesn't last , watch only 2 years old going back to old watch",1,0,,2025-03-05 05:14:26,,149
I don't understand this watch!! Why does it keep turning OFF AFTER 5 SECONDS!!?? DO I NEED MY PHONE TO PLAY MUSIC!! I CAN HEAR A CALL COME THROUGH BUT NO MUSIC!! I CAN'T USE BLUETOOTH HEADPHONES WITH THE WATCH??? MAKES NO SENSE,2,0,3.6.9,2025-03-05 04:17:38,3.6.9,150
"Nothing works right Can't swim in it, though I checked thoroughly before my purchase. Instructions sketchy. Can figure it out. Screen doesn't stay on long enough. Can't get weather app anywhere.",1,0,3.6.9,2025-03-05 01:02:49,3.6.9,151
"Works pretty good. It's a little slow to update, but it does work.",3,0,3.6.9,2025-03-05 00:04:29,3.6.9,152
Hard to get bluetooth connected and can't figure out how to set the time,1,0,3.6.9,2025-03-04 23:15:58,3.6.9,153
Awesomeness,4,0,3.6.9,2025-03-04 20:39:33,3.6.9,154
Doesn't have samsung messages integrated. Sad,3,0,3.6.9,2025-03-04 20:02:48,3.6.9,155
"App doesnt stay connected, not very impressed. Bluetooth keeps going off.",1,0,,2025-03-04 17:20:28,,156
"Only recognizes partial contact list, only receives selected texts, cannot change km to miles, weather is not for my location nor is it what is on my phone.",1,0,3.6.9,2025-03-04 16:53:54,3.6.9,157
Good,5,0,2.8.1,2025-03-04 16:53:40,2.8.1,158
"After repeatedly receiving warnings about frequent app crashes, I was forced to uninstall.",1,0,,2025-03-04 16:42:25,,159
Sometimes it works and sometimes it doesn't. It doesn't do my sleep time,3,0,3.6.9,2025-03-04 15:44:48,3.6.9,160
Awsome,5,0,3.6.9,2025-03-04 14:22:08,3.6.9,161
Please try to upgrade the app. Some settings are missing amd a lot of silly ones are there.,3,0,3.6.9,2025-03-04 13:33:02,3.6.9,162
"Please change the default of Raise hand to activate screen to off. Don't know why anyone would have this turned on especially at night as it lights the whole room up. Even when I've set it off, it somehow changes back to On. Very frustrating",4,0,3.6.9,2025-03-04 11:22:33,3.6.9,163
nice,5,0,3.6.9,2025-03-04 10:08:18,3.6.9,164
"Satisfactory, easy directions, just wish it was more night shifter friendly. I keep getting yelled at by the sleep recorder that I'm sleeping too late. Other than that works well.",4,0,3.6.9,2025-03-04 05:52:45,3.6.9,165
Currently only have Christmas watch faces,3,0,3.6.9,2025-03-04 04:11:31,3.6.9,166
"This app does not capture the correct hours of sleep. I would be awake watching TV, and it records I'm asleep. This morning , I woke up at 6:30 and it is still recording me as sleeping while i'm sitting in my living room. I love everything else about this watch and App except the sleep tracker. Are you guys working on updating the sleep tracker app? If so, please include to record snoring.",4,0,3.6.9,2025-03-04 03:00:26,3.6.9,167
"I love it,works well with my phone.",5,0,3.6.9,2025-03-03 18:42:39,3.6.9,168
I regret buying this watch. The app doesn't doesn't support the watch.,1,0,3.6.9,2025-03-03 13:31:41,3.6.9,169
not have update watchface for vyatta,3,0,3.6.9,2025-03-03 12:09:10,3.6.9,170
Absolutely useless just done what I know is over 4 milse and it's telling me activity was not long enough to record anything 😡,1,0,3.6.9,2025-03-03 11:30:43,3.6.9,171
Very good,4,0,3.6.9,2025-03-03 09:23:48,3.6.9,172
It is not working properly Very bad my experience i hope company will be change this Davis Thanks🙏,1,0,3.6.9,2025-03-03 09:15:52,3.6.9,173
Good job,5,0,,2025-03-03 09:09:17,,174
Can't set up,1,0,,2025-03-03 09:06:45,,175
Just got blessed$ The watch with this company is a good thing.,3,0,3.6.9,2025-03-03 08:27:16,3.6.9,176
Can't receive sms messages from my hubby,1,0,3.6.9,2025-03-03 03:51:14,3.6.9,177
Started out well but now having issues getting the app to reinstall.,2,0,3.6.9,2025-03-03 01:04:06,3.6.9,178
Not so great,2,0,3.6.9,2025-03-02 21:21:18,3.6.9,179
Pretty good so far interesting product,5,0,3.6.9,2025-03-02 20:36:54,3.6.9,180
"No access to more faces,server issues 😕",3,0,3.6.9,2025-03-02 20:09:55,3.6.9,181
"Cheap feeling, does very basic stuff",3,0,,2025-03-02 19:03:14,,182
Having issue maintaining a connection to the phone. Not happy with this app.,2,0,3.6.9,2025-03-02 14:34:55,3.6.9,183
It is not working after replacing a lost watch.,1,0,3.6.9,2025-03-02 11:25:37,3.6.9,184
"I find this watch from Temu substandard, cheep quality, very inaccurate, waste of money.",1,0,3.6.9,2025-03-02 05:12:48,3.6.9,185
"It kind of works but it's far from perfect. It seems to have trouble detecting my steps if I don't swing my arms i.e. using a stroller. Very frustrating and motivation killer. I like the custom themes, text notifications, and the ease of use. I don't use oxygen levels, sleep mode and some other features. Cycling mileage is not precise as well. I wouldn't mind if it was off by +/-500 steps but not thousands. I still use and don't hate it yet because iPhone watch has issues too lol",3,29,3.6.9,2025-03-02 04:41:50,3.6.9,186
"After downloading the app and installing was pretty straightforward. The first couple times I wanted to add a dial face. There was a whole shitload of dials to choose. From then the next day I went to visit the dial ad function and it says, download complete no data show. Lead me to believe they let you have a different watch face. But after you wait or try it 2 or 3 times somehow locked out. Overall, it does what I want it to do. They need to fix not being able to download a different dial.",2,11,3.6.9,2025-03-02 01:28:24,3.6.9,187
Horrible with a potentially good product. My old garmin watch works better than this and it is 8 year's old. Returning the product. Using on a newer s24.,1,0,,2025-03-01 22:14:41,,188
bought a brand new phone and my other 2 phones downloaded this with the smart watch I bought don't it's B's and a scam wreks your phone my brand new phone now I have to fix don't waste your your on the watch and your time or effort on the app don't destroy your phone please listen to me don't regret like the rest of us do,1,0,3.6.9,2025-03-01 19:27:32,3.6.9,189
Watch disconnect too many times and very hard to reconnect to app.,2,0,3.6.9,2025-03-01 18:13:43,3.6.9,190
"Difficult to change settings, for example, watchface. Difficult to move between actions, not intuitive at all. Some swipe up, some down, others left or right. Other times a circle just spins.",3,0,3.6.9,2025-03-01 14:42:23,3.6.9,191
Wow so nice product I'm Happy thank you 😍,5,0,3.6.9,2025-03-01 14:00:03,3.6.9,192
"Can't use it, can't access instructions. The app won't send verification codes to my email.",1,0,3.6.9,2025-03-01 11:06:42,3.6.9,193
Rubbish. Not impressed with the functionality,1,0,3.6.9,2025-03-01 09:44:42,3.6.9,194
Great app hope u keep it up to date great watch thx,5,0,3.6.9,2025-03-01 06:07:27,3.6.9,195
Terrible app hard to use,1,0,,2025-03-01 02:55:37,,196
Watch will not connect to text messages. The bluetooth doesn't even show message access,2,0,3.6.9,2025-03-01 01:13:27,3.6.9,197
Excellent quality and function. Priced right. The only down side is the need to charge it every two days minimum. I love the sleep tracking. The BP works well and the O2 sensor seems right on.,4,0,3.6.9,2025-02-28 22:55:59,3.6.9,198
Never reads me when asleep,1,0,3.6.9,2025-02-28 18:58:15,3.6.9,199
It doesn't detect my email.,1,0,3.6.9,2025-02-28 17:27:51,3.6.9,200
Good,4,0,3.6.9,2025-02-28 15:14:11,3.6.9,201
Nice,5,0,,2025-02-28 10:17:46,,202
Love it..,5,0,,2025-02-28 08:32:29,,203
The app is crushing all the time,1,0,3.6.9,2025-02-28 05:07:19,3.6.9,204
The watch won't let me set the time and date. The app won't let me set the date past 2022. The instructions suck! Probably returning. I don't need the stress it's putting me thru trying to figure it out!,1,0,3.6.9,2025-02-28 01:20:30,3.6.9,205
Very hard for me to manage what you needed the app should be automatic worked on this for 4 hours already man a have a headache if don't get it soon I will return it,2,0,3.6.9,2025-02-27 23:28:20,3.6.9,206
Terrible app,1,0,,2025-02-27 22:14:48,,207
Keep asking for capcha so much I have given up trying to login. I don't have capcha on my phone,3,0,3.6.9,2025-02-27 20:16:24,3.6.9,208
Can't get to work will not connect to wife phone?????,1,0,3.6.9,2025-02-27 14:35:21,3.6.9,209
Good,5,0,3.6.9,2025-02-27 12:44:13,3.6.9,210
Need to fix so it stays connected,1,0,3.6.9,2025-02-27 12:06:38,3.6.9,211
The best,5,0,3.3.1,2025-02-27 10:02:54,3.3.1,212
"Doesn't record sleep when it says it should, done everything it says to do and still nothing. After having it on do not disturb through the night and change it back in the morning, have to switch it off to get it to record steps again.... ok for a child this watch",2,0,3.6.9,2025-02-27 05:09:36,3.6.9,213
Can not get the weather nor can I find out how to connect to Bluetooth. It's the pits. Can't find any instructions in the app which is totally useless. What a complete disappointment. What to do next?????????.⁹,3,0,3.6.9,2025-02-27 02:31:14,3.6.9,214
Not getting the right BP readings..this shows me way too low,1,0,3.6.9,2025-02-27 02:20:48,3.6.9,215
Works great as long as they have complete permissions to your whole phone.,5,0,,2025-02-26 21:05:01,,216
Good,5,0,,2025-02-26 17:55:44,,217
This app stinks,1,0,3.6.9,2025-02-26 16:35:59,3.6.9,218
"Failed to give an actuate readings on steps an sleep as far as these health watches can do. I know that not able to be as accurate as a doctor. But would give outrageous readings. Steps keep saying 4,000 or more. I know for a fact I can only do under 2,000. Sleep, it said one day I slept 14 hrs. Not possible, I'm lucky to sleep 8 hrs. I am a 76 year old women. My son did the installation. customer service was no help. They refused to exchange or refund.",1,0,3.6.9,2025-02-26 14:40:36,3.6.9,219
Would be full but I can't answer messages using the watch and the sound is patchy and can't tell what's being said and I can't figure out how to turn it back to just mu phone,4,0,,2025-02-26 14:24:41,,220
Good,4,0,3.6.9,2025-02-26 14:05:44,3.6.9,221
Learning curve takes some getting used to..,4,0,3.6.9,2025-02-26 11:43:28,3.6.9,222
I like it but you need to have more wallpaper for your watches so we have different ones Like valentines and st patrick's day and all of that i think you need to come up with more. But I still like it and love it. I love my Watch thank you so much.,5,0,3.6.9,2025-02-26 08:49:10,3.6.9,223
"Using a Google phone it works very well, have no problems in syncing the phone to the app, I gave it a 4 star because I've only. Been using it for a couple of weeks",4,0,3.6.9,2025-02-26 06:18:11,3.6.9,224
So fiddly to start,1,0,3.6.9,2025-02-26 00:47:36,3.6.9,225
Good,3,0,3.6.6,2025-02-25 23:39:51,3.6.6,226
"Nightmare to use doesn't connect properly sick of resetting, awful so not compatible from phone to watch, not sure which is worse. I'm sorry to say I would not get the watch that goes with this app. I'm really disappointed",1,0,,2025-02-25 21:50:44,,227
"Could REALLY use a ringtone control! I cannot turn off this awful chime?? Can't even turn it down. My old cheap smartwatch definitely has mute with vibrate only option. What's up with not having this basic control? Lovely watch otherwise! But please, let me control the horrible chime. Or at least let me change it to something less BLANG BLANG BLANG BLANG BLANG BLANG BLANG BLANG!!N 🙃😐",2,1,3.6.9,2025-02-25 18:39:31,3.6.9,228
Its big brother is free! Why would you download this app when Glory Fit Pro is free?,2,0,3.6.9,2025-02-25 06:08:40,3.6.9,229
